gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_row,team_name,team_rating,team_region,team_seed,team_slot,RPI_index,RPI,seed,regressed_rating
mens,3/12/2023,0,1,0.935394107,0.674503558,0.350618916,0.145674263,0.08355365,0.036703994,1,1,49,56,Arkansas,81.38,West,10,90,66,0.5657,10,81.37814752
mens,3/12/2023,0,1,0.064605893,0.013438531,0.002427598,0.000361637,7.55E-05,1.20E-05,1,1,50,24,St. John's,91.77,West,2,92,10,0.6380,2,91.77213874
mens,3/12/2023,0,1,0.971047547,0.741489232,0.588248324,0.406558025,0.308621507,0.22085017,1,1,51,57,Omaha,75.92,West,15,94,118,0.5346,15,75.91919381
mens,3/12/2023,0,1,0.028952453,0.003638409,0.000675058,9.99E-05,1.45E-05,2.19E-06,0,1,52,25,Houston,93.49,Midwest,1,96,7,0.6527,1,93.48832885
mens,3/12/2023,0,1,0.028952453,0.003638409,0.000675058,9.99E-05,1.45E-05,2.19E-06,0,1,53,58,SIU Edwardsville,73.27,Midwest,16,98,176,0.5072,16,73.26787731
mens,3/12/2023,0,1,0.419077203,0.095680581,0.057980839,0.028663103,0.012365692,0.005105941,1,1,54,26,Gonzaga,85.62,Midwest,8,100,21,0.6061,8,85.62047973
mens,3/12/2023,0,1,0.580922797,0.159191778,0.089796666,0.040943299,0.018508499,0.007978505,1,1,55,59,Georgia,83.91,Midwest,9,102,41,0.5915,9,83.91165283
mens,3/12/2023,0,1,0.594447596,0.264267455,0.061067412,0.023692745,0.009442572,0.003625692,1,1,56,27,Clemson,88.52,Midwest,5,104,17,0.6197,5,88.52327404
mens,3/12/2023,0,1,0.405552404,0.151522138,0.035333421,0.013802719,0.004600655,0.001500816,1,1,57,60,McNeese,81.58,Midwest,12,106,48,0.5856,12,81.57582492
mens,3/12/2023,0,1,0.737316538,0.470208014,0.14871807,0.072521076,0.032506922,0.013903798,1,1,58,28,Purdue,89.26,Midwest,4,108,15,0.6211,4,89.26015854
mens,3/12/2023,0,1,0.262683462,0.114002394,0.01818021,0.0052745,0.001455593,0.00039978,1,1,59,61,High Point,80.61,Midwest,13,110,53,0.5811,13,80.61068122
mens,3/12/2023,0,1,0.57566435,0.310552576,0.131102256,0.050010013,0.020871425,0.008359643,1,1,60,29,Illinois,85.86,Midwest,6,112,39,0.5922,6,85.86459433
mens,3/12/2023,1,0.5,0.254328639,0.128129987,0.043899924,0.013782159,0.005594645,0.002184621,1,1,61,70,Texas,79.56,Midwest,11,114,96,0.5496,11,79.55887262
mens,3/12/2023,1,0.5,0.874221896,0.461439763,0.164394027,0.05351694,0.020982712,0.007937184,1,1,62,74,Xavier,81.03,Midwest,11,115,63,0.5696,11,81.03151262
mens,3/12/2023,0,1,0.125778104,0.02273864,0.002481244,0.00026618,4.16E-05,6.75E-06,1,1,63,30,Kentucky,90.59,Midwest,3,116,11,0.6305,3,90.58609904
