gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,team_rating,team_region,team_seed,team_slot,RPI_index,RPI,seed,regressed_rating
womens,3/12/2023,0,1,0.721302534,0.160112483,0.060089228,3.08E-03,9.09E-04,3.17E-04,1,1,156,Nebraska,81.44639428,Albany 1,6,16,45,0.5936,6,81.44639428
womens,3/12/2023,0,1,0.119033049,0.012414447,0.002460672,0.0000573,7.92E-06,1.43E-06,0,1,356,Texas A&M,74.0391868,Albany 1,11,18,72,0.571,11,74.0391868
womens,3/12/2023,0,1,0.990884557,0.807850681,0.43589458,0.038696343,0.015124518,0.00668081,1,1,87,Oregon St.,92.34809637,Albany 1,3,20,13,0.6424,3,92.34809637
womens,3/12/2023,0,1,0.009115443,0.000690478,2.99E-05,1.40E-07,5.50E-09,3.27E-10,1,1,253,Eastern Wash.,70.90686071,Albany 1,14,22,78,0.5646,14,70.90686071
womens,3/12/2023,0,1,0.572020447,0.087875632,0.025931846,0.000996977,0.000252218,7.69E-05,1,1,12,Mississippi,81.67274959,Albany 1,7,24,40,0.5984,7,81.67274959
womens,3/12/2023,0,1,0.427979553,0.053331248,0.011778077,0.000320613,4.46E-05,8.02E-06,1,1,277,Marquette,77.4776315,Albany 1,10,26,53,0.5862,10,77.4776315
womens,3/12/2023,0,1,0.985160245,0.856637423,0.458700003,0.040592047,0.014703321,0.006072549,1,1,120,Notre Dame,91.51704907,Albany 1,2,28,18,0.6343,2,91.51704907
womens,3/12/2023,0,1,0.014839755,0.002155697,8.32E-05,3.75E-07,9.61E-09,3.86E-10,1,1,107,Kent St.,70.27198802,Albany 1,15,30,77,0.5647,15,70.27198802
womens,3/12/2023,0,1,0.996876217,0.945533085,0.798137894,0.544431651,0.327527991,0.084333431,1,1,84,Texas,97.92398177,Portland 4,1,32,9,0.6657,1,97.92398177
womens,3/12/2023,0,1,0.002449629,3.24E-04,3.10E-05,1.55E-06,5.95E-08,7.14E-10,1,1,2635,Drexel,64.30483132,Portland 4,16,34,119,0.5357,16,64.30483132
womens,3/12/2023,0,1,0.515050173,2.86E-02,1.13E-02,2.63E-03,6.52E-04,0.0000544,1,1,197,Alabama,80.17664889,Portland 4,8,36,44,0.5938,8,80.17664889
womens,3/12/2023,0,1,0.484949827,0.025534084,0.01079988,0.002711905,0.000553374,0.0000371,1,1,2390,Florida St.,76.93976819,Portland 4,9,38,67,0.5797,9,76.93976819
womens,3/12/2023,0,1,0.585313609,0.167876626,0.023924331,0.006512395,0.001683725,1.47E-04,1,1,265,Utah,85.03143098,Portland 4,5,40,33,0.6096,5,85.03143098
womens,3/12/2023,0,1,0.414686391,0.097186631,0.011831725,0.002835588,0.000553112,0.0000353,1,1,526,S. Dakota St.,78.27849811,Portland 4,12,42,41,0.5977,12,78.27849811
womens,3/12/2023,0,1,0.898476535,0.701030308,0.141720074,0.050785051,1.41E-02,1.32E-03,1,1,222,Gonzaga,91.25512368,Portland 4,4,44,15,0.64,4,91.25512368
womens,3/12/2023,0,1,0.101523465,0.033906435,0.0022255,0.000317685,0.0000353,0.00000124,1,1,325,UC Irvine,66.50263341,Portland 4,13,46,116,0.537,13,66.50263341
womens,3/12/2023,0,1,0.736927743,0.184788555,8.21E-02,2.19E-02,6.41E-03,6.46E-04,1,1,130,Tennessee,87.32839828,Portland 4,6,48,22,0.6257,6,87.32839828
womens,3/12/2023,0,1,0.263072257,0.032244038,0.006494679,0.000757304,0.000125515,0.00000673,1,1,2439,Green Bay,77.2458868,Portland 4,11,50,49,0.5885,11,77.2458868
womens,3/12/2023,0,1,0.982701753,0.781069536,0.54186201,0.252702921,1.45E-01,3.48E-02,1,1,99,N.C. State,93.88731237,Portland 4,3,52,10,0.6508,3,93.88731237
womens,3/12/2023,0,1,0.017298247,0.001897871,0.0000693,0.00000157,5.23E-08,5.43E-10,1,1,62,Chattanooga,75.21300071,Portland 4,14,54,51,0.5881,14,75.21300071
womens,3/12/2023,0,1,0.705838288,0.165732406,6.77E-02,2.32E-02,7.87E-03,9.47E-04,1,1,152,Iowa St.,86.12548159,Portland 4,7,56,25,0.6227,7,86.12548159
womens,3/12/2023,0,1,0.294161712,0.03722146,0.008704528,0.001713091,0.000358622,2.48E-05,1,1,163,Maryland,80.9775155,Portland 4,10,58,35,0.6053,10,80.9775155
womens,3/12/2023,0,1,0.987925204,0.795992604,0.292956688,0.089581209,0.035289021,5.06E-03,1,1,254,Stanford,98.46184507,Portland 4,2,60,6,0.6722,2,98.46184507
womens,3/12/2023,0,1,0.012074796,0.001053529,0.0000707,0.00000416,0.000000211,3.34E-09,1,1,2241,Norfolk St.,64.46328002,Portland 4,15,62,124,0.533,15,64.46328002
womens,3/12/2023,0,1,0.999540833,0.946333741,7.23E-01,5.25E-01,1.24E-01,7.48E-02,1,1,24,Iowa,101.7903458,Albany 2,1,64,4,0.6868,1,101.7903458
womens,3/12/2023,1,0.62491106,0.000345573,0.0000113,0.000000175,3.63E-09,2E-11,1E-12,0,1,2582,Holy Cross,60.20025532,Albany 2,16a,66,169,0.5133,16,60.20025532
womens,3/12/2023,1,0.62491106,0.000345573,0.0000113,1.75E-07,3.63E-09,2.00E-11,1.00E-12,0,1,2582,Tenn-Martin,52.88897932,Albany 2,16b,67,231,0.4734,16,52.88897932
